OfficeName,Pincode,District,StateName,Lat_GMAP,Long_GMAP
Baniya Khera B.O,126110,JIND,HARYANA,29.4010323,76.4866723
Lajwan Kalan B.O,126101,JIND,HARYANA,29.1176923,76.4331698
Malwi B.O,126101,JIND,HARYANA,29.1176923,76.4331698
Mandi Kalan B.O,126125,JIND,HARYANA,29.5755776,76.3043850999999
Sandil B.O,126125,JIND,HARYANA,29.547268,76.3463623999999
Shahpur B.O,126125,JIND,HARYANA,29.4081821,76.3492569
Dumarkhan Kalan B.O,126116,JIND,HARYANA,29.6756695,76.1088001
Garhi B.O,126116,JIND,HARYANA,29.7613965,76.1276465
Hamir Garh B.O,126116,JIND,HARYANA,29.6687868999999,76.0841509
Dalamwala B.O,126110,JIND,HARYANA,29.3877219,76.3822675999999
Khunga Kothi B.O,126110,JIND,HARYANA,29.3685706,76.417508
Budda Khera Lather B.O,126101,JIND,HARYANA,29.0893449,76.4343833
Deorer B.O,126101,JIND,HARYANA,29.1176923,76.4331698
Fateh Garh B.O,126101,JIND,HARYANA,29.1479912,76.4505243
Nandgarh B.O,126101,JIND,HARYANA,29.1915592,76.4722142999999
Pauli B.O,126101,JIND,HARYANA,29.0779604,76.4490782
Badhana B.O,126125,JIND,HARYANA,29.4540795,76.3391259
Kuchrana Kalan B.O,126125,JIND,HARYANA,29.492823,76.3014896
Lodhar B.O,126125,JIND,HARYANA,29.5707223,76.2580499
Belarkhan B.O,126116,JIND,HARYANA,29.6756695,76.1088001
Bhana Brahmana B.O,126116,JIND,HARYANA,29.6527366999999,76.1870680999999
Dablain Kalan B.O,126116,JIND,HARYANA,29.6180546,76.0504478
Dhabitek Singh B.O,126116,JIND,HARYANA,29.7517544,76.0638482
Karamgarh B.O,126116,JIND,HARYANA,29.6326068,76.0377403
Khrindwal B.O,126116,JIND,HARYANA,29.6756695,76.1088001
Lowan B.O,126116,JIND,HARYANA,29.6761167,76.0464435
Pharain Kalan B.O,126116,JIND,HARYANA,29.6756695,76.1088001
Ritauli B.O,126110,JIND,HARYANA,29.4038329,76.4447397
DUDHOLA BO,121102,PALWAL,HARYANA,28.1944435,77.2771212999999
Hathwala B.O,126101,JIND,HARYANA,29.0998006,76.4534165
Kerela B.O,126101,JIND,HARYANA,29.1176923,76.4331698
Mehrara B.O,126101,JIND,HARYANA,29.1176923,76.4331698
Chhatar B.O,126125,JIND,HARYANA,29.5126683,76.3145188
Kendela B.O,126125,JIND,HARYANA,29.3852953,76.3444825
Dhamtan Sahib B.O,126116,JIND,HARYANA,29.325508,76.2997908999999
Dharodi B.O,126116,JIND,HARYANA,29.6398073,76.0652985
Kalwan B.O,126116,JIND,HARYANA,29.7062659,75.9709302
Kharal B.O,126116,JIND,HARYANA,29.7022546999999,76.0652985
Phullian Kalan B.O,126116,JIND,HARYANA,29.6756695,76.1088001
Mohammad Khera B.O,126110,JIND,HARYANA,29.4174968,76.4599238
Karsaula B.O,126101,JIND,HARYANA,29.1176923,76.4331698
Kila Zaffargarh B.O,126101,JIND,HARYANA,29.325508,76.2997908999999
Chuharpur B.O,126125,JIND,HARYANA,29.4465358,76.3897733
Dehola B.O,126125,JIND,HARYANA,29.4897222,76.3535986
Thua B.O,126125,JIND,HARYANA,29.5327493,76.3434679
Amargarh B.O,126116,JIND,HARYANA,29.6175991,76.0037574999999
Dhakal B.O,126116,JIND,HARYANA,29.5877300999999,76.1607353
Dhanori B.O,126116,JIND,HARYANA,29.7733606,76.1735904
Ghason Kalan B.O,126116,JIND,HARYANA,29.6756695,76.1088001
Jheel B.O,126116,JIND,HARYANA,29.5366369,76.1167739
Pipaltha B.O,126116,JIND,HARYANA,29.7579982,76.0957511
Tikkar B.O,134205,PANCHKULA,HARYANA,30.656484,77.0801899
Bhadauli B.O,134203,AMBALA,HARYANA,30.3578577,77.0434934
Bhareri Kalan B.O,134203,AMBALA,HARYANA,30.3844421,77.0614832999999
Bhurewala B.O,134203,AMBALA,HARYANA,30.5341483,77.0901277999999
Kathe Majra B.O,134203,AMBALA,HARYANA,30.5208049,77.1442022
Laha B.O,134203,AMBALA,HARYANA,30.5173538,77.1096829
Lakhnaura B.O,134203,AMBALA,HARYANA,30.4115208,77.1158502
Patwi B.O,134201,AMBALA,HARYANA,30.4345753,76.9549440999999
Baragaon B.O,134203,AMBALA,HARYANA,30.4488572,77.1039287999999
Toda B.O,134201,PANCHKULA,HARYANA,30.5008537,76.9487628999999
Bhojkoti B.O,134205,PANCHKULA,HARYANA,30.7023955,77.1082443999999
Nasrauli B.O,134201,AMBALA,HARYANA,30.3924399,76.9490665
Ambli B.O,134203,AMBALA,HARYANA,30.3752011,76.782122
Jeoli B.O,134203,AMBALA,HARYANA,30.3508514,77.0866645999999
Kharanwali B.O,133302,PANCHKULA,HARYANA,30.8569568,76.9066828999999
Mandhana B.O,134205,PANCHKULA,HARYANA,30.6373345,77.0794705
Thendog B.O,134205,PANCHKULA,HARYANA,30.6373345,77.0794705
Zainabad BO,123411,REWARI,HARYANA,28.285843,76.3805553
Lohana BO,123411,REWARI,HARYANA,28.2941725,76.4331698
Jakhala BO,123301,REWARI,HARYANA,28.3853778,76.5350947
Dhawana BO,123103,REWARI,HARYANA,28.2416463,76.3955603
Khaleta BO,123103,REWARI,HARYANA,28.2325102,76.4187058999999
Mandola BO,123103,REWARI,HARYANA,28.2277807,76.3675411999999
Bhatsana BO,123106,REWARI,HARYANA,28.1682416,76.7538514
Dungerwas BO,123106,REWARI,HARYANA,28.1954521,76.7194617999999
Maheshwari BO,123106,REWARI,HARYANA,28.2128398,76.8209186
Raliawas BO,123106,REWARI,HARYANA,28.1585358,76.7134495999999
Gugodh BO,123302,REWARI,HARYANA,28.3902349,76.5166292
Juddi BO,123302,REWARI,HARYANA,28.4282024,76.4338929
Mayan BO,123103,REWARI,HARYANA,28.2130581,76.4534165
Basbatori BO,123101,REWARI,HARYANA,28.1990591,76.514138
Bhotwas Ahir BO,123101,REWARI,HARYANA,28.2155965,76.5253394
Mamaria Ahir BO,123101,REWARI,HARYANA,28.2009054,76.4895636999999
Pithrawas BO,123101,REWARI,HARYANA,28.1807707,76.5163494999999
Tint BO,123101,REWARI,HARYANA,28.1780982,76.4880756
Bhakli BO,123302,REWARI,HARYANA,28.4173199,76.475106
Masani BO,123106,REWARI,HARYANA,28.2040862,76.7314877
Rattanthal BO,123301,REWARI,HARYANA,28.3919414,76.593611
Balwari BO,123103,REWARI,HARYANA,28.2057665,76.4165361
Punsika BO,123101,REWARI,HARYANA,28.1477364,76.5167799
Burthala BO,123302,REWARI,HARYANA,28.3726606,76.4761904
Jhal BO,123302,REWARI,HARYANA,28.407011,76.4367855
Shyam Nagar BO,123302,REWARI,HARYANA,28.3758441,76.4508859
Badhrana BO,123412,REWARI,HARYANA,28.1365317,76.5122806
Rajgarh BO,123412,REWARI,HARYANA,28.0974563,76.4736602
Tankri BO,123412,REWARI,HARYANA,28.0829699,76.4866723
Kharkhara BO,123106,REWARI,HARYANA,28.1992678,76.7668664999999
Nand Rampurbass BO,123106,REWARI,HARYANA,28.1533575,76.7792043
Karnawas BO,123302,REWARI,HARYANA,28.3985032,76.4447397
Kosli R S BO,123302,REWARI,HARYANA,28.3968505,76.4852265
Lula Ahir BO,123302,REWARI,HARYANA,28.3665095,76.4308333
Sadat Nagar BO,123302,REWARI,HARYANA,28.3997898,76.4432935
Baghot BO,123027,MAHENDRAGARH,HARYANA,28.4224029,76.2678056
Dhanaunda BO,123027,MAHENDRAGARH,HARYANA,28.354627,76.2538874
Kakrola BO,123027,MAHENDRAGARH,HARYANA,28.2936575,76.3103138
Nautana BO,123027,MAHENDRAGARH,HARYANA,28.4306188,76.2116987
Sihore BO,123027,MAHENDRAGARH,HARYANA,28.3753405,76.2870113
Kheri BO,123027,MAHENDRAGARH,HARYANA,28.3745544,76.2652909
Kotia BO,123027,MAHENDRAGARH,HARYANA,28.345979,76.3362312
Sehlong BO,123027,MAHENDRAGARH,HARYANA,28.4070229,76.2211562
Siana BO,123027,MAHENDRAGARH,HARYANA,28.447403,76.2218394
Gurha BO,123027,MAHENDRAGARH,HARYANA,28.4075559,76.2178127
Kanina Mandi BO,123027,MAHENDRAGARH,HARYANA,28.3255711,76.3125408
Bharaf BO,123027,MAHENDRAGARH,HARYANA,28.320824,76.333529
Chitrauli BO,123027,MAHENDRAGARH,HARYANA,28.4075559,76.2178127
Pota BO,123027,MAHENDRAGARH,HARYANA,28.426084,76.223288
Rambas BO,123027,MAHENDRAGARH,HARYANA,28.2567399,76.3463623999999
Rasoolpur BO,123027,MAHENDRAGARH,HARYANA,28.2840408,76.2532672
Akbarpur B.O,134203,AMBALA,HARYANA,30.4693957,77.0934985999999
Gadhauli B.O,134203,AMBALA,HARYANA,30.3840887,77.1643337
Hamidpur B.O,134203,AMBALA,HARYANA,30.4817615,77.1819460999999
Kurali B.O,134203,AMBALA,HARYANA,30.4125806,77.0809093
Kakrana BO,124412,ROHTAK,HARYANA,28.803402,76.5470169
Sundana BO,124412,ROHTAK,HARYANA,28.7806022,76.5300365
Khairari BO,124113,ROHTAK,HARYANA,28.810977,76.3441915
Nigana BO,124113,ROHTAK,HARYANA,28.7769343,76.4375086
Sampel BO,124113,ROHTAK,HARYANA,28.8058176,76.3984536999999
Saman BO,124112,ROHTAK,HARYANA,29.0419806,76.2797715
Sisarkhas BO,124112,ROHTAK,HARYANA,28.9209427,76.2681870999999
Bhaini Maharajpur BO,124112,ROHTAK,HARYANA,28.9892074,76.2522568999999
Basana BO,124022,ROHTAK,HARYANA,28.8929861,76.3709636999999
Bahu Akbarpur BO,124022,ROHTAK,HARYANA,28.9096337,76.4779977
Baland BO,124010,ROHTAK,HARYANA,28.8001458,76.5820543999999
Bhali Anandpur BO,124010,ROHTAK,HARYANA,28.8808012,76.5105244
Marodi Jatan BO,124010,ROHTAK,HARYANA,28.8459406,76.5401527
Kahni BO,124303,ROHTAK,HARYANA,29.0143992,76.6737565999999
Chandi BO,124514,ROHTAK,HARYANA,29.0311232,76.5004058
Chiri BO,124514,ROHTAK,HARYANA,29.0608336,76.5329268999999
Gharauthi BO,124514,ROHTAK,HARYANA,29.0358382,76.5257007
Gugaheri BO,124514,ROHTAK,HARYANA,29.0494675,76.3998907
Kharkhara BO,124111,ROHTAK,HARYANA,28.9367976,76.3666226
Farmana BO,124112,ROHTAK,HARYANA,29.0454269,76.3414591
Khidwali BO,124303,ROHTAK,HARYANA,29.0100045,76.5806097
Rithal BO,124303,ROHTAK,HARYANA,28.9920868,76.7154154999999
Basantpur BO,124303,ROHTAK,HARYANA,28.9624424,76.647047
Jassia BO,124303,ROHTAK,HARYANA,29.0094257,76.6456031
Landhari BO,125047,HISAR,HARYANA,29.3020809,75.660084
Sandol BO,125047,HISAR,HARYANA,29.3485218,75.7342416
Gangwa BO,125007,HISAR,HARYANA,29.1225435,75.7017745
Chakpanihar BO,125007,HISAR,HARYANA,29.1235418,75.7051647
Badhawar BO,125121,HISAR,HARYANA,29.3371115,75.9603091
Bhaini Badshahpur BO,125121,HISAR,HARYANA,29.4108288,75.8716869
Dhadh BO,125121,HISAR,HARYANA,29.2957116,76.0101767
Dhani Khan Bahadur BO,125121,HISAR,HARYANA,29.3262883,75.8969633
Kharkara BO,125121,HISAR,HARYANA,29.4162282,75.9535815
Matloda BO,125121,HISAR,HARYANA,29.4027320999999,76.0081008
Badala BO,125042,HISAR,HARYANA,29.1142283,76.1522878999999
Kharbala BO,125042,HISAR,HARYANA,29.0697191,76.157535
Basduda BO,123102,REWARI,HARYANA,28.1723576,76.3586053
Nangal Jamalpur BO,123102,REWARI,HARYANA,28.1788603,76.3275467
Pali BO,123102,REWARI,HARYANA,28.1640055,76.4505243
Bisowa BO,123303,REWARI,HARYANA,28.1919738,76.6190774
Lilodh BO,123303,REWARI,HARYANA,28.4534756,76.4006237
Nayagaon BO,123303,REWARI,HARYANA,28.4168056,76.3145188
Guraora BO,123035,REWARI,HARYANA,28.382495,76.6427152
Rohrai BO,123401,REWARI,HARYANA,28.320559,76.5964999999999
Sulkha BO,123401,REWARI,HARYANA,28.1919738,76.6190774
Rathdhana BO,131001,SONIPAT,HARYANA,28.9659505,77.0349292
Delhi Road BO,131001,SONIPAT,HARYANA,28.9943517,77.027058
Lehrara BO,131001,SONIPAT,HARYANA,28.9740373,77.0089452
Shapur Turk BO,131001,SONIPAT,HARYANA,29.00253,77.06652
Tharuoldepur BO,131001,SONIPAT,HARYANA,28.9905081,76.9873477
Barwasni BO,131001,SONIPAT,HARYANA,29.0136926,76.9614254999999
RATTANGARH,131001,SONIPAT,HARYANA,29.015211,76.9202938999999
Qumaspur BO,131021,SONIPAT,HARYANA,28.9920973,77.0837976999999
Mehlana BO,131001,SONIPAT,HARYANA,28.9794804,76.9566198
Harsana Kalan BO,131001,SONIPAT,HARYANA,28.9457221,77.0118246
Kumaharia BO,125047,FATEHABAD,HARYANA,29.4073153,75.6157167
Garnauthi BO,124412,ROHTAK,HARYANA,28.8176226,76.5639949999999
Bakheta BO,124406,ROHTAK,HARYANA,28.9213375,76.8106085
Morekheri BO,124406,ROHTAK,HARYANA,28.8580264,76.7964035999999
Bhagwatipur BO,124514,ROHTAK,HARYANA,29.0358382,76.5257007
Kharainti BO,124514,ROHTAK,HARYANA,29.0257582,76.4657747999999
Nidana BO,124514,ROHTAK,HARYANA,28.9605181,76.4879859
Samargopalpur BO,124514,ROHTAK,HARYANA,28.964275,76.5098017
Sunderpur BO,124514,ROHTAK,HARYANA,28.941166,76.5556869999999
Bharan BO,124111,ROHTAK,HARYANA,28.9687027,76.3854327999999
Behlba BO,124112,ROHTAK,HARYANA,28.9275164,76.3318889999999
Bhaini Bharon BO,124112,ROHTAK,HARYANA,29.0121012,76.2942506999999
Bhaini Surjan BO,124112,ROHTAK,HARYANA,29.0153316,76.2841153999999
Karontha BO,124010,ROHTAK,HARYANA,28.8006447,76.6193873
Dobh BO,124010,ROHTAK,HARYANA,28.8739879,76.5278685999999
Jindran BO,124303,ROHTAK,HARYANA,28.9972111,76.5741085
Chamanpura BO,124102,JHAJJAR,HARYANA,28.6976102,76.6362171999999
Mehrana BO,124102,JHAJJAR,HARYANA,28.6855451,76.6658164999999
Gawalison BO,124103,JHAJJAR,HARYANA,28.6013001,76.5676071
Jondhi BO,124103,JHAJJAR,HARYANA,28.626544,76.6597859
Talao BO,124103,JHAJJAR,HARYANA,28.6065099,76.6196097
Chimni BO,124412,JHAJJAR,HARYANA,28.7270206,76.4808893
Birohar BO,124106,JHAJJAR,HARYANA,28.5835829,76.3781984
Jharli BO,124106,JHAJJAR,HARYANA,28.4995978,76.3825391
Marot BO,124106,JHAJJAR,HARYANA,28.590888,76.5423204
Jahangirpur BO,124104,JHAJJAR,HARYANA,28.5756201,76.7408665999999
Kheri Asra BO,124104,JHAJJAR,HARYANA,28.6598082,76.7235513
Ladain BO,124146,JHAJJAR,HARYANA,28.4851266,76.4729371999999
Madana Kalan BO,124102,JHAJJAR,HARYANA,28.7156443,76.6448810999999
Seria BO,124102,JHAJJAR,HARYANA,28.7172514,76.6109441
Dadanpur BO,124103,JHAJJAR,HARYANA,28.5077326,76.6629289999999
Dawla Raiya BO,124103,JHAJJAR,HARYANA,28.5572586,76.6138327
Gurukul Jhajjar BO,124103,JHAJJAR,HARYANA,28.5779437,76.6540495
Khatiwas BO,124103,JHAJJAR,HARYANA,28.628174,76.6001112
Sulodha BO,124103,JHAJJAR,HARYANA,28.542195,76.6264367
Utlodha BO,124103,JHAJJAR,HARYANA,28.5132501,76.6968522
Karodha BO,124103,JHAJJAR,HARYANA,28.6054875,76.6537749
Dharana BO,124412,JHAJJAR,HARYANA,28.7718469,76.514138
Ahri BO,124108,JHAJJAR,HARYANA,28.4464801,76.6304409
Lohari BO,124108,JHAJJAR,HARYANA,28.3732269,76.7156143
Pataudah BO,124108,JHAJJAR,HARYANA,28.4031325,76.6773655
Chhuchhakwas BO,124106,JHAJJAR,HARYANA,28.6039511,76.5228101
Khachrauli BO,124106,JHAJJAR,HARYANA,28.5817556,76.4447397
Mundsa BO,124106,JHAJJAR,HARYANA,28.5455443,76.4758289
Jnv Kiloi BO,124104,JHAJJAR,HARYANA,28.5496275,76.7314877
Kablana BO,124104,JHAJJAR,HARYANA,28.6217283,76.7437522
Birar BO,124146,JHAJJAR,HARYANA,28.4935714,76.4714913
